exponent,time_mean,memory_mean
6 MPI,0.003282413999846904,47.873
7 MPI,0.014026812000348,48.425
8 MPI,0.05715244159986591,51.333
9 MPI,0.27389364760006285,63.016
10 MPI,1.4193097786001032,111.37
11 MPI,7.905349821199837,303.5
12 MPI,51.17601411939984,1072.5
13 MPI,374.0701411939984,4148.2
6 SEC,0.02339290380006464,97.664
7 SEC,0.064771269600347616,97.664
8 SEC,0.20401092960007198,97.664
9 SEC,0.8965543823999097,97.848
10 SEC,4.3961622611999335,97.848
11 SEC,23.911362968200134,133.56
12 SEC,137.93421300860004,423.07
13 SEC,913.08421300860004,1579.1
