exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
5 MPI,0.0015103999994607875,0.0,0.0012993999989703298,0.001441099999283324,0.0019334999997226987,0.0013115999990986893,0.0015664000002288958,0.0,0.0,0.0,0.0,0.0
5 SEC,0.025567460000456777,0.0,0.025531600000249455,0.02423799999996845,0.02536110000073677,0.02615230000083102,0.026554300000498188,0.0,0.0,0.0,0.0,0.0
