exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
2 MPI,0.00033572000029380433,0.0,0.00031830000079935417,0.00036840000029769726,0.00030279999919002876,0.00032110000029206276,0.0003680000008898787,0.0,0.0,0.0,0.0,0.0
2 SEC,0.024586940000153844,0.0,0.026472399998965557,0.023375400000077207,0.021333500000764616,0.02794779999931052,0.023805600001651328,0.0,0.0,0.0,0.0,0.0
