exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
5 MPI,0.0013005400003748945,0.0,0.0013942000005044974,0.0012461000005714595,0.0015959000011207536,0.0010531000007176772,0.0012133999989600852,0.0,0.0,0.0,0.0,0.0
5 SEC,0.024955520001094557,0.0,0.026090500003192574,0.02577229999951669,0.024478700001054676,0.024645699999382487,0.02379040000232635,0.0,0.0,0.0,0.0,0.0
